id,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
0,mol_02,Family.P6O,0,SMD,acetonitrile,86,-424.63265839223,5.83311891955909E-05,-424.650049836289,3.32916564365692,3.77720798427939,-214.073246007089,6.60816142790319E-05,-214.092948240386,3.29958300239661,5.09059131849746,-214.077856193906,6.30496780490514E-05,-214.096654455417,3.34822905687088,4.7425547923023
1,mol_03,Family.P6O,0,SMD,acetonitrile,108,-424.632034832855,5.86236309721813E-05,-424.649513468429,3.91778024431751,3.78327031863279,-214.072141586279,6.28908083890401E-05,-214.0908924808,3.90516091331277,6.06731604338837,-214.076022964367,7.00450525050215E-05,-214.096906896771,3.89547245951191,4.71177624092474
2,mol_04,Family.P6O,0,SMD,acetonitrile,94,-424.632986393858,5.97010768459535E-05,-424.65078626992,3.36476433489891,3.76819057369353,-214.07314341487,6.70584806413488E-05,-214.093136900873,3.35557615001879,5.48313781666352,-214.077885642922,6.32835092814962E-05,-214.096753621214,3.35161722281654,5.24085717192566
4,mol_12,Family.P6O,0,SMD,acetonitrile,92,-424.63385209658,6.14654480583008E-05,-424.652178019918,3.32851691813039,3.71876559606122,-214.072504328395,6.46242684553584E-05,-214.091772054035,3.3087954325859,5.02963507864143,-214.08145467991,6.87713743028314E-05,-214.101958865158,3.34491793685276,4.95983150648891
5,mol_15,Family.P5O,0,SMD,acetonitrile,100,-424.627025330931,6.47731530423672E-05,-424.64633744651,3.58373884455652,5.08416513164285,-214.073662611411,6.51608506363141E-05,-214.093090319028,3.80851721612492,5.21506894648779,-214.084863897029,6.33827902996887E-05,-214.103761475957,3.73623533859462,5.16480092553078
6,mol_23,Family.IIO,0,SMD,acetonitrile,102,-424.630887830843,5.88471496690327E-05,-424.648433108517,3.61257836978602,4.09786965932266,-214.073734110862,6.63701843066154E-05,-214.093522381313,3.59645024506954,5.61258311117925,-214.084741636065,6.67970714687183E-05,-214.104657182923,3.62134710511788,5.55814390858063
7,mol_24,Family.IIO,0,SMD,acetonitrile,124,-424.629946624192,6.44485616031253E-05,-424.649161962834,4.58957688878232,5.9655165591995,-214.072965413007,6.18877464778104E-05,-214.091417244619,4.57019988616966,6.63204725216521,-214.083362566618,6.02508586122741E-05,-214.101326360113,4.62107425713651,6.90039725947715
8,mol_25,Family.IIO,0,SMD,acetonitrile,110,-424.630418714634,6.27762011852163E-05,-424.649135439017,4.04957543192053,4.31951780363745,-214.07393433251,6.4780911935894E-05,-214.093248761404,4.03185264164974,6.098921714305,-214.08327920426,5.94734848642728E-05,-214.101011223773,4.02338923554247,6.31967952371365
9,mol_26,Family.IIO,0,SMD,acetonitrile,118,-424.629480322815,6.2549807452983E-05,-424.648129547907,4.65450320154539,6.13006223052119,-214.073456004206,6.12723289557357E-05,-214.091724349084,4.64658586028656,6.66521954167139,-214.083035201849,5.93057270434877E-05,-214.100717204367,4.67972769799702,6.90251625837692
10,mol_27,Family.IIO,0,SMD,acetonitrile,110,-424.630616819084,6.32593360347586E-05,-424.649477590123,3.94752457669697,4.22406685428627,-214.073783446156,6.36776459757704E-05,-214.092768936304,3.93616924061517,5.80011783281561,-214.083226093145,6.01968257785929E-05,-214.101173776751,3.97969206646879,6.00048623660625
11,mol_33,Family.IIO,0,SMD,acetonitrile,146,-424.631480197565,5.42637154445821E-05,-424.647658924324,4.63048565420409,4.64546047782149,-214.072415767898,6.28445991448586E-05,-214.091152885133,4.63826615680571,6.62358899892033,-214.082754362085,6.18697971151028E-05,-214.101200842094,4.64544600025536,6.64625477632693
12,mol_36,Family.APO,0,SMD,acetonitrile,128,-424.63340787453,5.56225416506365E-05,-424.649991735323,4.12911544515101,4.13855572436452,-214.074973611479,6.23190184477154E-05,-214.093554026829,4.12188103311071,4.90313504522878,-214.084353235825,6.21840026376985E-05,-214.102893396212,4.08391939537073,5.79989918893106
13,mol_51,Family.APO,0,SMD,acetonitrile,136,-424.632598461587,5.80672319960194E-05,-424.649911206806,4.52857396563523,4.52689782696689,-214.074844374119,5.99564635145944E-05,-214.092720393716,4.50428881920909,4.97194914511433,-214.084913878933,6.15816150235961E-05,-214.103274437452,4.46690321293479,6.05731530791027
14,mol_54,Family.APO,0,SMD,acetonitrile,150,-424.634258162808,6.18671281037064E-05,-424.652703847052,4.61241754586015,4.63273340758203,-214.074847083114,5.84931374137229E-05,-214.092286812034,4.62448409725085,5.29474446640142,-214.084277533931,5.95351801549221E-05,-214.102027947894,4.63109775850308,6.37714261236502
15,mol_55,Family.APO,0,SMD,acetonitrile,172,-424.635040373398,5.46087472985934E-05,-424.651321971405,4.67549945479202,4.68665969671392,-214.072299647363,6.37314726591324E-05,-214.091301185937,4.68022582128044,6.26507040017448,-214.083550320259,6.27707766320527E-05,-214.102265427311,4.62184891049971,6.37877192227738
16,mol_58,Family.P5O,0,SMD,acetonitrile,98,-424.632388255622,5.83059880166114E-05,-424.649772185949,3.66367981576631,4.04288680139721,-214.071894893543,6.32474740861191E-05,-214.090752127942,3.65458910099573,5.86316932435588,-214.090566244234,6.346678837285E-05,-214.109488867187,3.64174099474412,5.66405460959407
17,mol_59,Family.P5O,0,SMD,acetonitrile,92,-424.631793504419,5.95894797391123E-05,-424.649560107804,3.62029928118633,4.0896277796954,-214.07236184892,6.21538428145226E-05,-214.090893017155,3.61270058653128,5.62729469717157,-214.084883949291,6.12482049756495E-05,-214.103145101605,3.64793342846559,5.55047896383459
18,mol_60,Family.IIO,0,SMD,acetonitrile,136,-424.630340697493,6.16274028926594E-05,-424.648714907665,4.00753907713495,4.30410462459069,-214.073559534233,6.06948375933245E-05,-214.091655700061,3.99301827034655,5.98355658155752,-214.082691801058,6.22849799664569E-05,-214.101262067835,4.01909534430286,6.2002769851842
19,mol_61,Family.P6O,0,SMD,acetonitrile,120,-424.632611669229,5.75788151599931E-05,-424.649778792968,3.30706146403522,3.76219217084716,-214.072650347748,6.47498398159725E-05,-214.091955512489,3.30008671295423,5.4876669095109,-214.075944868414,6.81349888485641E-05,-214.096259315339,3.34411117973592,4.670895583595
20,mol_01,Family.AMO,0,SMD,water,80,-424.628778552158,5.72144998589087E-05,-424.645837055291,3.39890690681966,3.94833221571004,-214.065521242626,7.23624789116791E-05,-214.087096115714,3.37545890994407,5.01899057792525,-214.066546455409,6.58199613704567E-05,-214.086170676892,3.38506756706873,4.9589916127957
21,mol_02,Family.P6O,0,SMD,water,86,-424.628757529177,6.36227938093918E-05,-424.647726665151,3.32679909965801,3.98460762326549,-214.066535284599,6.64263212285623E-05,-214.086340292274,3.30019734538783,5.04348455888386,-214.05958533558,6.58578020931081E-05,-214.079220839274,3.34145699089093,4.95983378639456
22,mol_03,Family.P6O,0,SMD,water,108,-424.63087498246,5.57391609723707E-05,-424.647493613304,3.91697652002367,3.91679038962662,-214.06573435177,6.70859456180856E-05,-214.085736026456,3.90705293698317,6.05326678534567,-214.059108261313,6.76189628466107E-05,-214.079268855086,3.90348312586017,4.85212502135544
23,mol_04,Family.P6O,0,SMD,water,94,-424.629799551223,6.40834134977742E-05,-424.648906020958,3.35869521625308,4.11734596906411,-214.066856738076,6.52838477409331E-05,-214.08632111728,3.35263161379626,5.46321683519983,-214.061322295857,6.57914377378538E-05,-214.080938013019,3.35291739861724,4.96802589405889
24,mol_05,Family.P6O,0,SMD,water,102,-424.628887819462,6.6491955905718E-05,-424.648712396115,3.90906619344877,5.46592530360414,-214.06687740168,6.62063794572748E-05,-214.086616833716,3.90708383663575,6.01281047537409,-214.061290145617,7.14216045337954E-05,-214.082584497009,3.90682746743321,4.9017614700755
25,mol_06,Family.P6O,0,SMD,water,94,-424.631267245073,6.00086165673574E-05,-424.649158814102,3.30938634451751,4.15422778022183,-214.066693654401,6.31963472598933E-05,-214.085535645337,3.30412313119527,5.42146692055168,-214.061128656949,6.26800755591874E-05,-214.079816721477,3.3393541729491,4.94201639449234
26,mol_07,Family.P6O,0,SMD,water,140,-424.628327352282,6.37017371768899E-05,-424.647320025222,4.27088593761179,4.92393780126898,-214.065594415706,6.57855231588817E-05,-214.085208369436,4.47019670139806,6.12190523069654,-214.061978271735,6.5610974899829E-05,-214.081540183901,4.46329851960169,5.47454498782099
27,mol_08,Family.P6O,0,SMD,water,108,-424.630726886561,5.57997717469341E-05,-424.647363588508,4.06365081473454,4.72316919458803,-214.064106705397,6.81416408477334E-05,-214.084423135616,4.04689968745396,5.54283289785322,-214.058824149522,6.43563370118006E-05,-214.078011991403,4.05597930895716,5.24099758391243
28,mol_09,Family.P6O,0,SMD,water,130,-424.628026401194,5.96078750790868E-05,-424.645798489148,4.05360238562121,4.53991655725656,-214.061602753662,6.64366391077563E-05,-214.081410837612,4.04179844872025,6.12933900364187,-214.059555920923,5.4296890962242E-05,-214.075744538963,4.04648431523771,5.03818721074327
29,mol_10,Family.P6O,0,SMD,water,130,-424.630811840417,5.66518080997598E-05,-424.647702577002,4.15849693645756,4.90843002503331,-214.063754888954,6.26843744861876E-05,-214.082444235207,4.15948736569253,5.48126427662286,-214.061444779717,5.78846720804275E-05,-214.078703094698,4.1554028769963,5.20415508589813
30,mol_11,Family.P6O,1,SMD,water,94,-424.633699949012,6.1000656870425E-05,-424.651887294858,3.37117869152738,4.1627867194381,-214.065901973439,6.4252214579436E-05,-214.085058771216,3.36471247648976,5.47155177471239,-214.061642198727,6.65598410568302E-05,-214.081487015338,3.36473446951686,4.92990810006018
31,mol_12,Family.P6O,0,SMD,water,92,-424.630866614714,6.0917257323629E-05,-424.649029094985,3.32624556746905,3.71974272588845,-214.066630943325,6.56508852826056E-05,-214.086204754772,3.31155693327745,4.98579099782827,-214.063409978002,6.71570815507696E-05,-214.083432861867,3.34211946784126,4.94841316051372
32,mol_13,Family.P6O,0,SMD,water,84,-424.627498813962,6.4012775161373E-05,-424.646584222876,3.28493202778644,4.2827961616387,-214.067125334305,6.51815879720213E-05,-214.086559224759,3.29640792953713,5.07952800202924,-214.067358166502,7.04013469416248E-05,-214.088348328093,3.3426060991272,5.13166980234649
33,mol_14,Family.P5O,0,SMD,water,78,-424.627907869702,6.47519685859466E-05,-424.647213669136,3.27382959619082,3.97294396369556,-214.066996910051,6.35592693305842E-05,-214.085947106202,3.27473202482638,4.7081194612913,-214.067583914839,6.65816331481901E-05,-214.087435228762,3.23709229101814,4.64506493159543
34,mol_15,Family.P5O,0,SMD,water,100,-424.626105760263,6.10323079089026E-05,-424.644302542866,3.5736688630572,4.98943390019373,-214.067669469774,6.37801796462641E-05,-214.086685530335,3.81647135307056,5.13943301883033,-214.067461660201,7.11434560865382E-05,-214.088673081633,3.73778571603481,5.36390097007676
35,mol_16,Family.P5O,0,SMD,water,86,-424.628238374933,5.68072610837188E-05,-424.645175459825,3.26773570594221,3.94931313942181,-214.063936081259,6.59767779142539E-05,-214.083607057594,3.26347554063171,5.15591010637944,-214.067638013716,6.43025508509525E-05,-214.086809819252,3.23586999801747,4.77501991944638
36,mol_17,Family.P5O,0,SMD,water,94,-424.628250936569,6.61894298087749E-05,-424.647985315067,3.46851203682025,5.15396092532602,-214.067036900754,7.15859726953384E-05,-214.088380258513,3.48298113621032,5.87167430424761,-214.069268104705,7.17874945378072E-05,-214.090671546201,3.84970381559947,5.23799990786505
37,mol_18,Family.P5O,0,SMD,water,86,-424.627452206705,6.33327812804585E-05,-424.646334875444,3.2499184472394,4.23054855234073,-214.066029131108,6.67109744490249E-05,-214.08591900814,3.24821698195264,4.9426681253965,-214.063793469623,6.94457071631541E-05,-214.084498707214,3.2356821276325,4.95045796237925
