,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
0,mol_02,Family.P6O,0,SMD,acetonitrile,86,-638.701876094092,0.000126104968248707,-638.739474290376,3.32916564365692,5.54589044678442,-638.701683471887,0.000128839186139634,-638.740096875235,3.29958300239661,6.09078405789167,-638.702767643895,0.000125906667483934,-638.740306716806,3.34822905687088,5.84711674077191
1,mol_03,Family.P6O,0,SMD,acetonitrile,108,-638.702741589342,0.000121272575517094,-638.738899007732,3.91778024431751,6.34639868602007,-638.701144299173,0.000123792868329658,-638.738053142865,3.90516091331277,6.06483414232282,-638.70280679282,0.000121548306724565,-638.73904642047,3.89547245951191,5.4886121702854
2,mol_04,Family.P6O,0,SMD,acetonitrile,94,-638.700236735864,0.000129516451872165,-638.738852065989,3.36476433489891,5.93947166553998,-638.702306766691,0.000124119514562852,-638.739312999958,3.35557615001879,6.36194493745243,-638.705198254104,0.00012531820751853,-638.742561877676,3.35161722281654,6.5672197219588
3,mol_06,Family.P6O,0,SMD,acetonitrile,94,-638.701433602309,0.00012776432997496,-638.739526537291,3.31005080550692,5.32340720659733,-638.708633466824,0.000121289464951294,-638.7447959208,3.30092734535027,4.72842239730803,-638.706576742112,0.000119956375082978,-638.742341735343,3.3459604053747,5.15761094589616
4,mol_12,Family.P6O,0,SMD,acetonitrile,92,-638.703111975575,0.000120978483622415,-638.739181710467,3.32851691813039,5.70728777928132,-638.705899648464,0.000122336891739076,-638.742374392736,3.3087954325859,4.90205428861093,-638.708928367366,0.000130356267456021,-638.747794088508,3.34491793685276,4.95252249157082
5,mol_15,Family.P5O,0,SMD,acetonitrile,100,-638.696777315416,0.000130629248564563,-638.735724425875,3.58373884455652,6.4192341271173,-638.698936767668,0.000127810614717145,-638.737043502446,3.80851721612492,5.25019814572366,-638.713365675474,0.000122497792416316,-638.749888392283,3.73623533859462,6.25773797425382
6,mol_23,Family.IIO,0,SMD,acetonitrile,102,-638.702135678139,0.000127283786930464,-638.740085339212,3.61257836978602,6.24946798209258,-638.70493668523,0.000126220110252567,-638.742569211102,3.59645024506954,5.63569447025547,-638.712182387757,0.000124006886354997,-638.749155040924,3.62134710511788,5.50958070076536
7,mol_24,Family.IIO,0,SMD,acetonitrile,124,-638.704102970373,0.000118720322498001,-638.739499434526,4.58957688878232,6.52569301154148,-638.70156232946,0.000123655758462137,-638.738430293845,4.57019988616966,6.73853166621553,-638.71133067966,0.000115919820257477,-638.74589217407,4.62107425713651,6.59717092315748
8,mol_25,Family.IIO,0,SMD,acetonitrile,110,-638.702209241421,0.000122497059419191,-638.738731739687,4.04957543192053,6.6280352336145,-638.704847021543,0.00012180092875204,-638.74116196845,4.03185264164974,5.57854598222908,-638.711429417559,0.000121422450048848,-638.747631521041,4.02338923554247,6.26570125653576
9,mol_26,Family.IIO,0,SMD,acetonitrile,118,-638.705970814026,0.000118219885603995,-638.741218072919,4.65450320154539,6.15524558264387,-638.704743641783,0.000118652158589302,-638.740119782866,4.64658586028656,6.08442308343197,-638.710138559921,0.000126564323586672,-638.747873712998,4.67972769799702,6.86721911040366
10,mol_27,Family.IIO,0,SMD,acetonitrile,110,-638.705184241486,0.000121946004220649,-638.741542442644,3.94752457669697,6.19069155642421,-638.700252118466,0.000128102639076538,-638.738445920307,3.93616924061517,5.89518875357733,-638.710730946811,0.000125404664050298,-638.748120347398,3.97969206646879,5.9284954125537
11,mol_33,Family.IIO,0,SMD,acetonitrile,146,-638.702922423832,0.000118866237693202,-638.7383623926,4.63048565420409,6.39869013216205,-638.700534370723,0.000131755794971405,-638.739817360994,4.63826615680571,6.22020084575009,-638.712322462879,0.000115400246862664,-638.746729046482,4.64544600025536,6.55111812833774
12,mol_36,Family.APO,0,SMD,acetonitrile,128,-638.706148347874,0.000119810892821478,-638.741869965569,4.12911544515101,6.08646247596771,-638.703149376093,0.000127317567247812,-638.741109108768,4.12188103311071,6.364831940224,-638.71257195439,0.000123199959836759,-638.749304022416,4.08391939537073,5.65648167112863
13,mol_51,Family.APO,0,SMD,acetonitrile,136,-638.710020025713,0.000112998351819983,-638.743710484308,4.52857396563523,5.16860480489756,-638.702315744757,0.000128378035775579,-638.740591656123,4.50428881920909,6.22229576402619,-638.710839887581,0.000129644678831163,-638.749493448575,4.46690321293479,6.74395450929851
14,mol_54,Family.APO,0,SMD,acetonitrile,150,-638.710863475454,0.000119415383080444,-638.74646717192,4.61241754586015,5.18911159366226,-638.705753258083,0.000117332316779598,-638.740735888331,4.62448409725085,6.23654886898595,-638.709906884799,0.000120897299507159,-638.745952414647,4.63109775850308,6.74419322928724
15,mol_55,Family.APO,0,SMD,acetonitrile,172,-638.71265658086,0.00011055433269303,-638.745618355153,4.67549945479202,5.11389520102741,-638.706698249339,0.000119898005715367,-638.742445839743,4.68022582128044,6.22565064359254,-638.709811459627,0.00012681279098074,-638.747620693258,4.62184891049971,6.85369742353062
16,mol_58,Family.P5O,0,SMD,acetonitrile,98,-638.701769719149,0.000121578493591781,-638.738018347013,3.66367981576631,6.15582968201074,-638.703915797969,0.00013015374646726,-638.742721137479,3.65458910099573,6.61784703009874,-638.720836447973,0.00012471384381029,-638.758019880505,3.64174099474412,6.46620210579479
17,mol_59,Family.P5O,0,SMD,acetonitrile,92,-638.700862754657,0.00012659795862329,-638.738607936021,3.62029928118633,6.23466760163737,-638.70272466864,0.000126404121736393,-638.740412057536,3.61270058653128,6.6484072899046,-638.712273210087,0.000117960766901555,-638.747443212739,3.64793342846559,6.49072814296852
18,mol_60,Family.IIO,0,SMD,acetonitrile,136,-638.705534846566,0.000121538410813684,-638.741771523749,4.00753907713495,6.23160311935216,-638.70306742101,0.000120062077828734,-638.738863929514,3.99301827034655,6.4082343101273,-638.710775324398,0.000127895832274958,-638.748907466791,4.01909534430286,6.15088615394876
19,mol_61,Family.P6O,0,SMD,acetonitrile,120,-638.698727667031,0.000133151844118534,-638.738426889355,3.30706146403522,6.41179315988335,-638.701816325631,0.000127447511229397,-638.739814801104,3.30008671295423,5.82781540332057,-638.703904045861,0.000127940705035433,-638.742049567067,3.34411117973592,5.23741678981129
20,mol_01,Family.AMO,0,SMD,water,80,-638.697006233681,0.000124425642348276,-638.734103738947,3.39890690681966,4.76616295430368,-638.696433717152,0.000122048654792304,-638.732822523578,3.37545890994407,4.73434326795568,-638.693647492056,0.000131880730526727,-638.732967731863,3.38506756706873,5.39543867715236
21,mol_02,Family.P6O,0,SMD,water,86,-638.69594074358,0.000124891312935618,-638.733177088531,3.32679909965801,5.28301646011563,-638.69582682323,0.000125179619057946,-638.733149126652,3.30019734538783,4.88911109541529,-638.684144166068,0.000128249850025634,-638.722381858853,3.34145699089093,5.95308131241016
22,mol_03,Family.P6O,0,SMD,water,108,-638.696172452672,0.000123317907406053,-638.732939686765,3.91697652002367,6.313524400975,-638.696765804136,0.000124980624595897,-638.734028777359,3.90705293698317,5.09507769162411,-638.685629360717,0.000122624197583842,-638.722189765226,3.90348312586017,5.38534578629105
