name,family,z,hammet,r,px,Qxx,method,has_cation,has_anion,solvent_model,solvent,E_ox,E_red,r_ox,r_rad,r_red
mol_02,Family.P6O,0,,2.87,-0.1172,-0.0856,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,4.99063120812876,2.3210944512185,3.32916564365692,3.29958300239661,3.34822905687088
mol_03,Family.P6O,0,0.45,2.866,0.7391,4.5213,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.14774539378464,2.37074296708237,3.91778024431751,3.90516091331277,3.89547245951191
mol_06,Family.P6O,0,-0.37,2.874,1.8435,-3.2481,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.11303957390658,2.36762959889671,3.31005080550692,3.30092734535027,3.3459604053747
mol_12,Family.P6O,0,0.5,2.833,3.2454,-1.9312,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.58015858695805,2.44469293066752,3.33033116108693,3.31017703491598,3.34491793685276
mol_15,Family.P5O,0,0.37,2.198,0.7393,2.9804,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.20270985569746,2.3006833128675,3.58373884455652,3.80851721612492,3.73623533859462
mol_23,Family.IIO,0,,2.186,0.4422,3.6909,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.2363322641835,2.33018096854232,3.61257836978602,3.59645024506954,3.62134710511788
mol_24,Family.IIO,0,,2.185,1.5472,10.5503,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.27008279686026,2.36554193768737,4.58957688878232,4.57019988616966,4.62107425713651
mol_25,Family.IIO,0,,2.186,-0.6864,3.2565,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.18628008708595,2.30172371324652,4.04957543192053,4.03185264164974,4.02338923554247
mol_26,Family.IIO,0,,2.185,0.4589,1.519,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.21949985935922,2.31316136294339,4.65450320154539,4.64658586028656,4.67972769799702
mol_27,Family.IIO,0,,2.185,0.0706,5.1173,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.23116132860651,2.31633509829247,3.94752457669697,3.93616924061517,3.97969206646879
mol_33,Family.IIO,0,,2.183,2.9025,8.7624,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.28084775673986,2.41882505500007,4.63048565420409,4.63826615680571,4.64544600025536
mol_36,Family.APO,0,,2.815,0.6622,6.2,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.19541131619811,2.51352313365404,4.12911544515101,4.12188103311071,4.08391939537073
mol_51,Family.APO,0,,2.821,-0.4093,5.6912,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.12387736194933,2.46486863721949,4.52857396563523,4.50428881920909,4.46690321293479
mol_54,Family.APO,0,,2.831,6.0168,3.2418,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.33283140543975,2.58417374906571,4.61241754586015,4.62448409725085,4.63109775850308
mol_55,Family.APO,0,,2.827,10.0704,9.1996,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.40066782482868,2.68306653713758,4.67549945479202,4.68022582128044,4.62184891049971
mol_58,Family.P5O,0,0.28,2.185,0.7039,3.9102,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.24250513422181,2.11837739797126,3.66367981576631,3.65458910099573,3.64174099474412
mol_59,Family.P5O,0,0.1,2.192,-0.3872,2.8533,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.13803633433953,2.26556028931013,3.62029928118633,3.61270058653128,3.64793342846559
mol_60,Family.IIO,0,,2.185,2.4978,4.0087,wB97XD/6-311+G(d),False,False,SMD,acetonitrile,5.28305389879915,2.36251278667905,4.00753907713495,3.99301827034655,4.01909534430286
mol_01,Family.AMO,0,,,,,wB97XD/6-311+G(d),False,False,SMD,water,4.99772551727454,2.87762904432925,3.39890690681966,3.37545890994407,3.38506756706873
mol_02,Family.P6O,0,,2.87,-0.1172,-0.0856,wB97XD/6-311+G(d),False,False,SMD,water,5.08972352901173,2.96816059567392,3.32679909965801,3.30019734538783,3.34145699089093
mol_03,Family.P6O,0,0.45,2.866,0.7391,4.5213,wB97XD/6-311+G(d),False,False,SMD,water,5.17249215482827,3.02623873346646,3.91697652002367,3.90705293698317,3.90348312586017
mol_04,Family.P6O,0,-0.66,2.886,0.8377,-1.6942,wB97XD/6-311+G(d),False,False,SMD,water,5.13012202688223,2.99481003806231,3.35869521625308,3.35263161379626,3.35291739861724
mol_05,Family.P6O,0,-0.27,2.871,0.4705,1.3251,wB97XD/6-311+G(d),False,False,SMD,water,5.17873281955904,2.99863475632579,3.90906619344877,3.90708383663575,3.90682746743321
mol_06,Family.P6O,0,-0.37,2.874,1.8435,-3.2481,wB97XD/6-311+G(d),False,False,SMD,water,5.18516330794436,3.01813704218965,3.30938634451751,3.30412313119527,3.3393541729491
mol_07,Family.P6O,0,0.45,2.859,0.8885,4.2272,wB97XD/6-311+G(d),False,False,SMD,water,5.09146299421268,2.77256046499412,4.27088593761179,4.47019670139806,4.46329851960169
mol_08,Family.P6O,0,0.45,2.86,0.7487,2.6083,wB97XD/6-311+G(d),False,False,SMD,water,5.19364310250689,3.04081497056124,4.06365081473454,4.04689968745396,4.05597930895716
mol_09,Family.P6O,0,,2.859,1.6023,4.1641,wB97XD/6-311+G(d),False,False,SMD,water,5.29441953274603,3.12983443860138,4.05360238562121,4.04179844872025,4.04648431523771
mol_10,Family.P6O,0,,2.849,2.0225,-0.6573,wB97XD/6-311+G(d),False,False,SMD,water,5.31717401900232,3.14373543188831,4.15849693645756,4.15948736569253,4.1554028769963
mol_11,Family.P6O,1,0.6,2.847,,,wB97XD/6-311+G(d),False,False,SMD,water,5.29085005313191,3.10151151499027,3.37117869152738,3.36471247648976,3.36473446951686
mol_12,Family.P6O,0,0.5,2.833,3.2454,-1.9312,wB97XD/6-311+G(d),False,False,SMD,water,5.29985724101361,3.13809039347077,3.32624556746905,3.31155693327745,3.34211946784126
mol_13,Family.P6O,0,,2.802,0.1552,0.8675,wB97XD/6-311+G(d),False,False,SMD,water,5.14126506851269,2.98488224958122,3.28493202778644,3.29640792953713,3.3426060991272
mol_14,Family.P5O,0,,2.201,-0.0494,-0.0388,wB97XD/6-311+G(d),False,False,SMD,water,5.0838060199177,2.83514476131382,3.27382959619082,3.27473202482638,3.23709229101814
